업소명,소재지,전화번호
문화동베이커리,"대전광역시 중구 문화로 174, 1층 (문화동)",
성심당본점,"대전광역시 중구 대종로480번길 15, 1층 (은행동)",042-220-4146
손수-하다,"대전광역시 중구 계백로1615번길 34, 1차 상가동 2층 205호 (유천동, 현대아파트)",
다다제과점,"대전광역시 중구 계백로 1691-10, 1층 (오류동)",
케익하우스시온.,"대전광역시 중구 보문로 36-2, 2층 (문창동)",
성심당문화원,"대전광역시 중구 중교로73번길 11, 1층 (은행동)",042-220-4146
정인구팥빵2,"대전광역시 중구 계백로 1619, 벽산프라자 지하1층 54호 (유천동)",
라이슬리케이크,"대전광역시 중구 계백로1603번길 60-11, 1층 (유천동)",
선화당,"대전광역시 중구 대종로517번길 68, 1층 (선화동)",
우시아(ousia),"대전광역시 중구 목척2길 8, 1층 (은행동)",
델빠네(오월드),"대전광역시 중구 산서로 296, 1층 (침산동)",
로심,"대전광역시 중구 계룡로830번길 42-19, 1층 (오류동)",
다소리과자점,"대전광역시 중구 선화서로 27, 1층 (선화동)",042-223-3982
오븐브라더스,"대전광역시 중구 목동로 13, 2층 (목동)",
오로지식빵,"대전광역시 중구 계백로1685번길 55, 1층 (오류동)",
램키드(RAMKID),"대전광역시 중구 선화서로 29, 1층 (선화동)",
코스모스,"대전광역시 중구 계룡로755번길 6, 1층 (용두동)",
달몽브레드,"대전광역시 중구 선화서로 80, 1층 (선화동)",
난드르무드,"대전광역시 중구 유천로102번길 19, 로얄타운 1층 (유천동)",
리리컬,"대전광역시 중구 오류로 31, 103동 121호 (오류동, 서대전역 우방아이유쉘 스카이팰리스)",
흐그이므자,"대전광역시 중구 보문로 295, 1층 (선화동)",
몽심대흥,"대전광역시 중구 중교로 32, 1층 (대흥동)",
주식회사몽심,"대전광역시 중구 중교로 29, 1층 (대흥동)",
카페네잎,"대전광역시 중구 중교로 45, 1층 (대흥동)",
하레하레,"대전광역시 서구 둔산로 155, 제상가동 1,2층 (둔산동, 크로바아파트)",042 -483 -1595
새로나제과,대전광역시 서구 변동로 66 (변동),
동원제과,"대전광역시 서구 도화공원길 28 (도마동,(1층))",
파리바게뜨 도마점,"대전광역시 서구 배재로 155-7 (도마동,경남@상가 1층 5호)",
파리바게뜨갈마점,"대전광역시 서구 신갈마로127번길 2, 1층 (갈마동)",
내가잘가는빵집,대전광역시 서구 신갈마로 153 (갈마동),
파리바게뜨둔산점,대전광역시 서구 둔산북로 160 (둔산동),
당신을위한빵집,"대전광역시 서구 월평북로 11, 1층 주공1단지상가 104호 (월평동, 주공아파트)",
뚜레쥬르대전내동롯데점,"대전광역시 서구 신갈마로 46 (내동,롯데@상가 105,106)",
파리바게뜨황실점,"대전광역시 서구 청사로 65 (월평동,황실상가 114호)",
파리바게뜨정림점,"대전광역시 서구 정림로 62 (정림동,1층)",
트레이더스베이커리월평점,"대전광역시 서구 한밭대로 580, 지하1층 (월평동)",
파리바게뜨황실점2,"대전광역시 서구 청사로 65, 황실타운상가 1층 101호 (월평동, 황실타운)",
파리바게뜨둔산둥지점,"대전광역시 서구 청사로 254, 1층 103,104호 (둔산동, 둥지@상가)",
파리바게뜨만년점,"대전광역시 서구 만년로 25, 상가동 1층 105,106호 (만년동, 강변아파트)",
파리바게뜨 내동롯데점,"대전광역시 서구 신갈마로 51, 104동 지하2층 B210호 (내동, 더리치빌 아파트)", 042- 384-0042
파리바게뜨가수원점,"대전광역시 서구 가수원로 83, 상가동 지하1층 107호 (가수원동, 모아드림아파트)",
성심당 롯데대전점1,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)",
파리바게트 둔산3동점,대전광역시 서구 둔산로 212 (둔산동), 042- 482-8290
파리바게뜨 대전관저점,"대전광역시 서구 관저중로 98, 1층 4,5,16,17,18호 (관저동)",
(주)신세계푸드 블랑제리둔산점,"대전광역시 서구 둔산북로 41, 1층 (둔산동)",
경성베이커리,"대전광역시 서구 대덕대로 150 (갈마동,경성쇼핑센타2층)",
파리바게뜨경성갈마점,"대전광역시 서구 대덕대로 150 (갈마동,경성코아 205호)",
파리바게뜨탄방점,대전광역시 서구 문정로 134 (탄방동),
파리바게뜨가장점,"대전광역시 서구 가장로 100 (가장동,(1층))",
브레드하우스빵쟁이,대전광역시 서구 계룡로 353 (갈마동),042 -320 -9725
파리바게뜨 대전국화동성점,"대전광역시 서구 둔산로 201, 상가동 1층 102,103호 (둔산동, 국화아파트)",
파리바게뜨 대전도마시장점,"대전광역시 서구 도산로 38, 크로바메디컬 102~103호 (도마동)",042 -536 -8201
파리바게뜨,"대전광역시 서구 대덕대로 244, 건국타워 103,104,105호 (둔산동)", 042- 483-3157
뚜레쥬르 월평다모아점,"대전광역시 서구 월평동로 83, 1층 129호130호 (월평동, 다모아아파트상가동)",
파리바게뜨 내동벽산,"대전광역시 서구 갈마로 262, 501동 1층 111호 (내동)",
해피데이명과,"대전광역시 서구 문정로90번길 57 (탄방동,105호)", 042- 486-1119
파리바게뜨 롯데점,"대전광역시 서구 계룡로 616 (괴정동,오렌지타운 102호)", 042- 524-6408
케익파라,"대전광역시 서구 도솔로 60 (도마동,1층)",
파리바게트 느리울점,"대전광역시 서구 관저로 157, 1층 121호122호 (관저동, 하이존 122호일부)",
드림제과,"대전광역시 서구 벌곡로1379번길 21 (가수원동,1층)",
파리바게뜨(초록마을),"대전광역시 서구 복수동로 39-26 (복수동,초록마을3단지 상가 101호)", 042- 543-9093
케익하우스 앨리,"대전광역시 서구 관저로 177-37, 1층 (관저동, 1층일부)", 042- 543-1278
코코호도 둔산점,대전광역시 서구 둔산로31번길 38 (둔산동),
크리스피크림 대전둔산점,"대전광역시 서구 둔산중로 46, 1층 (둔산동)",
파리바게트대전로데오점,"대전광역시 서구 문정로 80 (탄방동,1층)",
앤티앤스,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부 (둔산동)",02  -587 -0955
하레하레과자점,"대전광역시 서구 대덕대로 211 (둔산동,지하2층)",
뚜레쥬르관저점,"대전광역시 서구 구봉로 137, 1층 106호 (관저동)",
뚜레쥬르대전둔산법원점,"대전광역시 서구 둔산로137번길 44, 103호 (둔산동,(1층))",
자연드림둔산점,"대전광역시 서구 문예로 7, COOP생협한밭센터 1층 일부 (탄방동)",
파리바게뜨롯데점1,"대전광역시 서구 계룡로 616 (괴정동,(오렌지빌딩130호))",   042 - 524-6408
파리바게뜨 관저원앙점,"대전광역시 서구 관저북로51번길 8-16, 1층 (관저동, 1층일부)",
장호덕손만두 탄방점,"대전광역시 서구 문정로 110-1 (탄방동,(1층))",042 -487 -7778
뚜레쥬르(대전복수목화점),"대전광역시 서구 복수중로 38 (복수동,(제비상가 114호))",
파리바게뜨대전갈마동산점,"대전광역시 서구 갈마중로 16 (갈마동,(1층))",
빵나라,대전광역시 서구 도산로 70 (도마동),
한터,"대전광역시 서구 삼보실길 123, 1층 (장안동)",042 -586 -3341
뚜레쥬르둔산샘머리점(2),"대전광역시 서구 청사로 281 (둔산동,(110호))",
월드빵천국,"대전광역시 서구 청사서로 65 (월평동,(한아름@상가108호))",
떡미당,"대전광역시 서구 문정로 130 (탄방동,(1층))",
따삐오베이커리,"대전광역시 서구 배재로 206, 2층 (도마동)",
뚜레쥬르대전롯데점,"대전광역시 서구 계룡로 633, 1층 (탄방동)",
파리바게뜨 대전괴정점,"대전광역시 서구 계룡로 546 (괴정동,(1층))",
뚜레쥬르탄방역점,"대전광역시 서구 문정로 64 (탄방동,(1층 101호))", 042 - 483-0606
파리바게뜨도안수목토점,"대전광역시 서구 도안동로 177, 108호 (도안동)",
파리바게뜨 만년KBS점,"대전광역시 서구 대덕대로 402 (만년동,1층)",
파리바게뜨만년점2,"대전광역시 서구 만년로 25 (만년동,(B6호))",
학화호두과자,"대전광역시 서구 둔산북로 22 (둔산동,(1층 157호))",
메가엠지씨커피 대전 정림점,"대전광역시 서구 정림로 56-1, 1층 (정림동)",
쿠킹하임,"대전광역시 서구 구봉로 111, 1층 (관저동)",
성심당 롯데대전점2,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)",
파리바게트도안목원대점,"대전광역시 서구 도안북로 107, 104~105호 (도안동)",042 -526 -0435
뚜레쥬르수목토점,"대전광역시 서구 원도안로179번길 7-7, 1층 (도안동)",
뚜레쥬르 대전월평계룡점,"대전광역시 서구 월평로 46, 1층 (월평동)",
이봉구케익과자점,"대전광역시 서구 복수동로 48, 1층 (복수동)",
뚜레쥬르둔산사학점(2),"대전광역시 서구 한밭대로 809, 1층 (둔산동, 사학연금대전둔산회관)",
빠띠시아,"대전광역시 서구 원도안로224번길 25, 1층 (도안동)",
인유단베이커리,"대전광역시 서구 대덕대로 394, 1층 (만년동)",
파리바게뜨 황실점3,"대전광역시 서구 청사로 65, 1층 143,144호 (월평동, 황실타운)",
주식회사 캘리포니아베이커리카페,"대전광역시 서구 둔산남로91번길 13, 호텔 디 에디션 1,2층 (둔산동)",
파리바게뜨도안우미린점,"대전광역시 서구 원도안로 42, 명성빌 1층 (도안동)",
성심당 롯데대전점4,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)",
브레드마마 도안점,"대전광역시 서구 도안북로117번길 17, 1층 (도안동)",
뚜레쥬르 대전도안목원대점,"대전광역시 서구 도안북로 116, 1층 (도안동)",
뚜레쥬르 샘머리점(2),"대전광역시 서구 청사로 281, 1층 114호 (둔산동)",
케이쿠,"대전광역시 서구 구봉로 133, 1층 104호 (관저동)",
뚜레쥬르 관저원앙점,"대전광역시 서구 관저북로 71, 1층 107,108호 (관저동)",
빵굽는집,"대전광역시 서구 문정로 112 (탄방동, 1층일부)",
정인구팥빵,"대전광역시 서구 도안동로11번길 57, 109호 (도안동)",
하레하레베이커리카페,"대전광역시 서구 원도안로26번길 13, 1층 일부호 (도안동)",
하레하레과자점,"대전광역시 서구 원도안로26번길 13, 지하1층 (도안동)",
우리동네빵집,"대전광역시 서구 관저중로95번길 105, 104호 (관저동)",
싶빵공장,"대전광역시 서구 도안동로11번길 42, 1층 107호 (도안동)",
꽃뭉치앙금플라워,"대전광역시 서구 문정로150번길 17-16, 1(일부)층 (탄방동)",
파리바게뜨 둔산타임월드점,"대전광역시 서구 둔산로 26, 소레드빌딩 1층 102호 (둔산동)",042 -471 -7888
베이크오프,"대전광역시 서구 관저동로 37-8, 1층 (관저동)",
바이러브하니,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 11층 일부 (둔산동)",
DALCOMI(달코미),"대전광역시 서구 관저중로 86-1, 1층 일부호 (관저동)",
트레이더스베이커리 월평점2,"대전광역시 서구 한밭대로 580, 신세계이마트 지하1층 (월평동)",
싶빵공장 둔산월평점,"대전광역시 서구 청사로 130, 청사로프라자 1층 105호 (월평동)",
스윗 클라우드9,"대전광역시 서구 배재로232번길 18, 1층 일부호 (변동)",
파리바게뜨 관저포스코점,"대전광역시 서구 관저로 23, 1층 101~103호 (관저동)",
주식회사 에스피씨삼립 빚은대전월평점,"대전광역시 서구 월평북로 90, 홈플러스익스프레스대전월평점 1층 (월평동)",02  -2276-5284
하레하레과자점2,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부 (둔산동)",
파리바게뜨 복수자이점,"대전광역시 서구 복수서로 15, 106,107호 (복수동, 복수센트럴자이)",
복남이네빵집,"대전광역시 서구 도안북로93번길 20-17, 1층 105호 (도안동)",
북촌35,"대전광역시 서구 관저북로13번길 23-24, 승암빌딩 1층 일부호 (관저동)",
슈가나인케이크(Sugar Nine Cake),"대전광역시 서구 도안북로93번길 20-23, 덕성펠리체Ⅰ 1층 101호 (도안동)",
베이크샵 다이브,"대전광역시 서구 도안북로117번길 74, 1층 (일부)호 (도안동)",
성심당 롯데대전점3,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)", 042- 220-4146
about Romantic(어바웃로맨틱),"대전광역시 서구 문정로 26, 1층 104호 (탄방동)",
케잌판다,"대전광역시 서구 구봉로131번길 37, 마치3 1층 111호 (관저동)",
땡스투케이크,"대전광역시 서구 갈마중로 33-9, 1층 일부호 (갈마동)",
손수베이커리,"대전광역시 서구 관저동로 42, 주상가동 1층 104호 (관저동, 느리울마을아파트13단지)",
코리아팥빵,"대전광역시 서구 둔산남로 99, 1층 101호 (둔산동)",
뚜레쥬르 관저더샵점,"대전광역시 서구 관저로14번길 40, 비젼9 1층 106,107,108호 (관저동)",
앙금엉금케이크,"대전광역시 서구 원도안로224번길 47-34, 101호 (도안동)",
INCEPT(인셉트),"대전광역시 서구 갈마역로25번길 67, 1층 일부호 (갈마동)",
케익이피다,"대전광역시 서구 둔산북로 215, 상가동 지하001(일부)호 (둔산동, 가람아파트)",
단풍꽈배기,"대전광역시 서구 한밭대로570번길 40-13, 필안채 1층 일부호 (월평동)",
은가비,"대전광역시 서구 갈마로245번길 30, 1층 일부호 (괴정동)",
하레베이킹,"대전광역시 서구 도안동로31번길 12-17, 1층 (도안동)", 042- 544-1596
파리바게뜨 대전월평,"대전광역시 서구 청사서로 46, 1층 일부호 (월평동)",
뚜레쥬르 대전을지대병원점,"대전광역시 서구 둔산서로 95, 을지대학병원 지하1층 일부호 (둔산동)",
햐로,"대전광역시 서구 도안중로305번안길 8, 한결빌딩 1층 일부호 (도안동)",
크리밋(Creamit),"대전광역시 서구 갈마로85번길 31, 1층 일부호 (갈마동)",
베이커리카페 가루밀,"대전광역시 서구 둔산중로 지하 55, 시청역 지하1층 111-2호 (둔산동)",
설기담은,"대전광역시 서구 관저남로25번길 23-82, 1층 일부호 (관저동)",
하레하레 건양대병원점,"대전광역시 서구 관저동로 158, 건양대학교병원 병원증축동 지하1층 일부호 (관저동)", 042- 544-1596
오픈오븐(Open oven),"대전광역시 서구 갈마역로25번길 7, 1층 일부호 (갈마동)",
만년빵집,"대전광역시 서구 만년로18번길 9, 1층 일부호 (만년동)",
이너프(Enough),"대전광역시 서구 계룡로354번길 43, 1층 (갈마동)",
룸넘버201,"대전광역시 서구 계룡로367번길 95, 1층 일부호 (갈마동)",
나무상자,"대전광역시 서구 계룡로394번길 14-18, 1층 (갈마동)",
달콤하나,"대전광역시 서구 괴정로16번길 15, 1층 (괴정동)",
워니데이 케이크,"대전광역시 서구 괴정로189번길 45, 1층 일부호 (용문동)",
원주율,"대전광역시 서구 도솔로 461, 1층 (탄방동)",
주식회사러브하니,"대전광역시 서구 계룡로 663-9, 1층 일부호 (용문동)",
몬도브라운,"대전광역시 서구 둔산남로175번길 27, 1층 일부호 (둔산동)",
케이크퍼즐,"대전광역시 서구 계룡로367번길 36, 가동 1층 101(일부)호 (갈마동, 무궁화빌라)",
나비한스푼,"대전광역시 서구 둔산남로203번길 15, 1층 일부호 (둔산동)",
달방구커피(moonbanggu),"대전광역시 서구 갈마로117번길 35, 1층 일부호 (갈마동)",
홈플러스 익스프레스 탄방점 몽블랑제,"대전광역시 서구 문예로 15, 그랑수아빌딩 1층 일부호 (탄방동)", 023-4598-009
리리컬,"대전광역시 서구 문정로2번길 51, 1층 101-1호 (탄방동, 시티빌 3차)",
뚜레쥬르 월평선사점,"대전광역시 서구 청사로 128, 1층 일부호 (월평동)",
손수베이커리(주),"대전광역시 서구 관저동로 42, 주상가동 1층 105호 (관저동, 느리울마을아파트13단지)",
빵굽는사람들,"대전광역시 서구 갈마로 259, 삼천상가 B동 1층 5호 (괴정동)",
브레댄코 대전관저점,"대전광역시 서구 구봉로 121, 하나로프라자 1층 109~110호 (관저동)",042 -542 -9045
카페제빵공작소,"대전광역시 서구 도안중로305번안길 1, 1층 일부호 (도안동)",042 -632 -7901
쿠케이크(Coo cake),"대전광역시 서구 관저북로51번길 23-7, 1층 (관저동)",
뮤리엘베이크샵(murielle bake shop),"대전광역시 서구 괴정로116번길 5, 1층 일부호 (괴정동)",
지영케이크,"대전광역시 서구 도마로 37, 1층 일부호 (도마동)",
연이가,"대전광역시 서구 둔산남로175번길 10, 1층 일부호 (둔산동)",
미미제과점,"대전광역시 서구 둔지로 64, 2층 일부호 (둔산동)",042 -488 -9694
주식회사 몽심도안,"대전광역시 서구 원도안로241번길 24-13, 지하1층 (도안동)",
미미제과점,"대전광역시 서구 갈마역로25번길 17-7, 1층 일부호 (갈마동)",042 -320 -5126
노티드 대전갤러리아,"대전광역시 서구 대덕대로 219, 갤러리아타임월드백화점 EAST 1층 일부호 (둔산동)",
젤리포에,"대전광역시 서구 계룡로 399-1, 1층 일부호 (갈마동)",
하르당 용문역점,"대전광역시 서구 계룡로 626, 1층 일부호 (용문동)",
은이까까,"대전광역시 서구 월평로33번길 24, 1층 일부호 (월평동)",
베이커리 아키텐,"대전광역시 서구 둔산중로 20, 나비家 아르누보팰리스 1층 115호 (탄방동)",042 -488 -1426
현미당,"대전광역시 서구 관저동로 88, 관저빌딩 1층 104호 (관저동)",
앤크(anc),"대전광역시 서구 청사서로 14, 1층 일부호 (월평동)",
피브완,"대전광역시 서구 둔산로 130, 대덕프라자 1층 110호 (둔산동)",
소올투베이커리,"대전광역시 서구 둔지로 32, 1,2층 (둔산동)",
다람당,"대전광역시 서구 둔산로51번길 30, 1층 108호 (둔산동)",
몽글베이커리,"대전광역시 서구 계백로 1145, 좋은빌딩 1층 107호 (도안동)",
라블랑제,"대전광역시 서구 원도안로224번안길 3, 1층 일부호 (도안동)",
브라보베이커리,"대전광역시 서구 괴정로181번길 22, 1층 일부호 (용문동)",
모구모구과자점 인 대전,"대전광역시 서구 도안북로93번길 11, 에프엠프라임4차빌딩 1층 108호 (도안동)",
작은빵집 토포(Topo),"대전광역시 서구 원도안로 207, 1층 일부호 (도안동)",
서촌,"대전광역시 서구 대덕대로242번길 15, 둔산의아침 지하1층 B01(일부)호 (둔산동)",
정인구 팥빵,"대전광역시 서구 계룡로 670-1, 1층 (용문동)",
뚜레쥬르 대전서구만년점,"대전광역시 서구 만년남로 10, 1,2층 (만년동)",
라니네 제과점,"대전광역시 서구 원도안로241번길 14-28, 1층 (도안동)",
당당커피,"대전광역시 서구 갈마역로25번길 49, 1층 일부호 (갈마동)",
플로우브레드,"대전광역시 서구 신갈마로 75-4, 초승고원 1층 일부호 (갈마동)",
홍월당,"대전광역시 서구 사마7길 12, 1층 (도마동)",
케익부띠끄 롯데점,"대전광역시 서구 계룡로 598, 롯데백화점 지하1층 일부호 (괴정동)",042 -220 -4177
곳간집,"대전광역시 서구 신갈마로209번길 43, 1층 (갈마동)",
뚜레쥬르 대전관저센터점,"대전광역시 서구 관저북로 53, 1층 일부호 (관저동)",
소공원치즈케이크,"대전광역시 서구 계룡로407번길 77, 골든타워 1층 (갈마동)",
달달빵집,"대전광역시 서구 관저북로 25, 월드상가 1층 102호 (관저동)",
쿠피,"대전광역시 서구 원도안로241번길 14-31, 1층 (도안동)",
썸원(someone),"대전광역시 서구 도솔로328번길 45, 1층 (괴정동)",
(주)캘리포니아베이커리팩토리,"대전광역시 서구 둔산중로46번길 10, 5층 일부호 (둔산동)",042 -488 -8871
페이머스,"대전광역시 서구 문정로112번안길 39, 1층 (탄방동)",
빠스츄리,"대전광역시 서구 도안북로117번길 61, 1층 일부호 (도안동)",
리코리시 케이크,"대전광역시 서구 월평중로3번길 44, 1층 일부호 (월평동)",
파리바게뜨 대전시청점,"대전광역시 서구 둔산남로105번길 34, 1층 일부호 (둔산동)",
호밀호두 대전월평점,"대전광역시 서구 청사서로 29, 1층 121 일부호 (월평동, 샛별아파트)",
호밀호두 대전월평점2,"대전광역시 서구 청사서로 29, 1층 103호 (월평동, 샛별아파트)",
손수베이커리,"대전광역시 서구 도산로 203, 2층 일부호 (변동)",
별빛담아,"대전광역시 서구 계룡로354번길 113, 1층 (갈마동)",
롤라리틀베이커리,"대전광역시 서구 둔산남로9번길 85, 1층 (둔산동)",
오븐브라더스,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부호 (둔산동)",
명지제과,"대전광역시 서구 정림로24번길 30, 1층 (정림동)",
태리정원,"대전광역시 서구 계룡로264번길 38-5, 파트너타운 1층 일부호 (월평동)",
동그리 앤 원플러스,"대전광역시 서구 둔산로31번길 61, 지하1층 일부호 (둔산동)",
소공원치즈케이크,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부호 (둔산동)",
