업소명,소재지(도로명),소재지전화
문화동베이커리,"대전광역시 중구 문화로 174, 1층 (문화동)",
성심당본점,"대전광역시 중구 대종로480번길 15, 1층 (은행동)",042-220-4146
손수-하다,"대전광역시 중구 계백로1615번길 34, 1차 상가동 2층 205호 (유천동, 현대아파트)",
다다제과점,"대전광역시 중구 계백로 1691-10, 1층 (오류동)",
케익하우스시온.,"대전광역시 중구 보문로 36-2, 2층 (문창동)",
성심당문화원,"대전광역시 중구 중교로73번길 11, 1층 (은행동)",042-220-4146
정인구팥빵2,"대전광역시 중구 계백로 1619, 벽산프라자 지하1층 54호 (유천동)",
라이슬리케이크,"대전광역시 중구 계백로1603번길 60-11, 1층 (유천동)",
선화당,"대전광역시 중구 대종로517번길 68, 1층 (선화동)",
우시아(ousia),"대전광역시 중구 목척2길 8, 1층 (은행동)",
델빠네(오월드),"대전광역시 중구 산서로 296, 1층 (침산동)",
로심,"대전광역시 중구 계룡로830번길 42-19, 1층 (오류동)",
다소리과자점,"대전광역시 중구 선화서로 27, 1층 (선화동)",042-223-3982
오븐브라더스,"대전광역시 중구 목동로 13, 2층 (목동)",
오로지식빵,"대전광역시 중구 계백로1685번길 55, 1층 (오류동)",
램키드(RAMKID),"대전광역시 중구 선화서로 29, 1층 (선화동)",
코스모스,"대전광역시 중구 계룡로755번길 6, 1층 (용두동)",
달몽브레드,"대전광역시 중구 선화서로 80, 1층 (선화동)",
난드르무드,"대전광역시 중구 유천로102번길 19, 로얄타운 1층 (유천동)",
리리컬,"대전광역시 중구 오류로 31, 103동 121호 (오류동, 서대전역 우방아이유쉘 스카이팰리스)",
흐그이므자,"대전광역시 중구 보문로 295, 1층 (선화동)",
몽심대흥,"대전광역시 중구 중교로 32, 1층 (대흥동)",
주식회사몽심,"대전광역시 중구 중교로 29, 1층 (대흥동)",
카페네잎,"대전광역시 중구 중교로 45, 1층 (대흥동)",
